wikiStats|sl

redirects|4004
r|Predloga:Country data Austria|Predloga:Podatki države Avstrija
r|Predloga:Ainur|Predloga:Tolkien-Ainur
r|Predloga:Province of Syracuse|Predloga:Pokrajina Siracusa
r|Predloga:Podatki države NCA|Predloga:Podatki države Nikaragva
r|Predloga:User linux|Predloga:Uporabnik linux
r|Predloga:Keypress/dok|Predloga:Key press/dok
r|Predloga:Podatki države Kongo-Kinšasa|Predloga:Podatki države Demokratična republika Kongo
r|Predloga:Infobox Tenisač|Predloga:Infopolje Tenisač
r|Predloga:Ktgrveč1|Predloga:Članek ktgr 1
r|Predloga:Lang|Predloga:Jezik
r|Predloga:Koledarjunij|Predloga:JuneCalendar
r|Predloga:Linked|Predloga:Povezan
r|Predloga:Footer I, Robot|Predloga:Jaz, robot
r|Predloga:User da|Predloga:Uporabnik da
r|Predloga:Podatki države Azerbejdžanska SSR|Predloga:Podatki države Azerbajdžanska SSR
r|Predloga:Province of Brindisi|Predloga:Pokrajina Brindisi
r|Predloga:Sodelovanje|Predloga:Sodelovanje-WP
r|Predloga:Podatki države SND|Predloga:Podatki države Skupnost neodvisnih držav
r|Predloga:Location map USA|Predloga:Lokacijska karta ZDA
r|Predloga:Podatki države Turks and Caicos Islands|Predloga:Podatki države Otočji Turks in Caicos
r|Predloga:Sk icon|Predloga:Ikona sk
r|Predloga:Podatki države Ameriški deviški otoki|Predloga:Podatki države Ameriški Deviški otoki
r|Predloga:Cite doi templates TOC|Predloga:TOC za Navedi doi predloge
r|Predloga:For|Predloga:Zapomen
r|Predloga:Infobox radio station|Predloga:Infopolje radijska postaja
r|Predloga:Copy edit|Predloga:Lektura
r|Predloga:KCwithOL|Predloga:RKE
r|Predloga:AU countries|Predloga:Afriška unija (AU)
r|Predloga:Number table sorting/testcases/row|Predloga:Sortiranje številčne tabele/testcases/row
r|Predloga:Lower|Predloga:Nižje
r|Predloga:Yugoslav President|Predloga:Predsednik Jugoslavije
r|Predloga:Website-stub|Predloga:Škrbina o spletišču
r|Predloga:Focusletter|Predloga:Izbrana črka
r|Predloga:P razd|Predloga:P na razdelek
r|Predloga:Neposredno prikazana stran z dokumentacijo predloge|Predloga:Dokumentacijska podstran
r|Predloga:Non-free seal|Predloga:Pečat
r|Predloga:Lang-sah|Predloga:Jezik-sah
r|Predloga:!xt2/dok|Predloga:Xt2/dok
r|Predloga:Podatki države Virginia|Predloga:Podatki države Virginija
r|Predloga:SPvHnLD12009 - kaz-jpneeffff|Predloga:SPvHnLD12009 - kaz-jpn
r|Predloga:Podatki države MDV|Predloga:Podatki države Maldivi
r|Predloga:Koor DMS2dec|Predloga:Koord/dms2dec
r|Predloga:NagrajenciGeorgaBüchnerja|Predloga:Prejemniki Büchnerjeve nagrade
r|Predloga:Luminescenca|Predloga:Luminiscenca
r|Predloga:Infopolje Nogometaš2/dok|Predloga:Infopolje Nogometaš/dok
r|Predloga:Podatki države Nigeria|Predloga:Podatki države Nigerija
r|Predloga:AcademyAwardBestSupportingActor 2001–2020|Predloga:AcademyAwardBestSupportingActor 2001-2020
r|Predloga:Location map 100x100|Predloga:Lokacijska karta 100x100
r|Predloga:Košarkar-stub|Predloga:Škrbina o košarkarju
r|Predloga:Alpine World Skiing Championships|Predloga:Svetovno prvenstvo v alpskem smučanju
