wikiStats|et

redirects|443
r|Mall:Jalgpallistaadion|Mall:Staadion
r|Mall:Macos|Mall:Kasutaja:Macos
r|Mall:Briti Rahvaste Ühendus|Mall:Rahvaste Ühendus
r|Mall:*|Mall:•
r|Mall:Infobox Company|Mall:Infokast ettevõte
r|Mall:Põhilised arvutikomponendid|Mall:Arvuti
r|Mall:Riik/Kongo DV/lipp|Mall:Riik/Kongo Demokraatlik Vabariik/lipp
r|Mall:OK|Mall:Korras
r|Mall:Commonskat-tekstina|Mall:Commonsi kategooria-tekstina
r|Mall:Delete|Mall:Kustutada
r|Mall:Taxoboxi värvus|Mall:Taksoboksi värvus
r|Mall:Note|Mall:Märkus
r|Mall:Riik/Tšehhi Vabariik/lipp|Mall:Riik/Tšehhi/lipp
r|Mall:Infobox Album/link|Mall:Albumi info/link
r|Mall:Laulupeo teabekast|Mall:Laulupeo info
r|Mall:InfoboxAutasu/doc|Mall:Infokast autasu/doc
r|Mall:Koord dms|Mall:Coor dms
r|Mall:Riik/Hawaii/lipp|Mall:Riik/Hawaii osariik/lipp
r|Mall:Vikisõnastik|Mall:Vikisõnastikus
r|Mall:Iluuisutaja|Mall:Infokast iluuisutaja
r|Mall:Suurbritannia Ülikoolid|Mall:Suurbritannia ülikoolid
r|Mall:Riik/Washington/lipp|Mall:Riik/Washingtoni osariik/lipp
r|Mall:Riik/Natsi-Saksamaa/lipp|Mall:Riik/Kolmas Riik/lipp
r|Mall:Pilli info/doc|Mall:Muusikainstrument/doc
r|Mall:Infokast Keskprotsessor|Mall:Infokast keskprotsessor
r|Mall:Translator|Mall:Tõlkija
r|Mall:Template doc page|Mall:Dokumentatsiooni alamleht
r|Mall:Linnuke|Mall:J
r|Mall:Punase kaardi teenimine|Mall:Punane kaart
r|Mall:Decrease|Mall:Vähenema
r|Mall:Citation|Mall:Viide
r|Mall:Cite url|Mall:Cite web
r|Mall:Infobox Single|Mall:Singli info
