wikiStats|hu

redirects|4207
r|Sablon:Userbox/wikihírek|Sablon:Userbox/Wikihírek
r|Sablon:Country data DGA|Sablon:Country data Brit Indiai-óceáni Terület
r|Sablon:A Portsmouth vezetőedzői|Sablon:A Portsmouth FC vezetőedzői
r|Sablon:SK9|Sablon:Stat Könyv 9
r|Sablon:TESz|Sablon:A magyar nyelv történeti-etimológiai szótára
r|Sablon:Country data OMA|Sablon:Country data Omán
r|Sablon:A BKV nappali autóbuszvonalainak felsorolása|Sablon:A BKK nappali autóbuszvonalainak felsorolása
r|Sablon:Sulivandal|Sablon:Sulivandál
r|Sablon:Current|Sablon:Friss esemény
r|Sablon:Növekmény|Sablon:Növekedés
r|Sablon:Ny-it|Sablon:Olaszul
r|Sablon:Country data DMA|Sablon:Country data Dominikai Közösség
r|Sablon:Sizé|Sablon:Sorozatizé
r|Sablon:Britney Spears-kislemezek|Sablon:Britney Spears-kislemezek, dalok
r|Sablon:User Japán-műhely|Sablon:Userbox/Japán-műhely
r|Sablon:KatonaLex|Sablon:Katonai lexikon
r|Sablon:Ny-ko|Sablon:Koreaiul
r|Sablon:Navbox Gyöngyös|Sablon:Gyöngyös városrészei
r|Sablon:Budapestpolgármesterei|Sablon:Budapest polgármesterei
r|Sablon:PD-USGov|Sablon:Közkincs-usa
r|Sablon:User Rammstein|Sablon:Userbox/Rammstein
r|Sablon:Négyzetszám/doc|Sablon:Négyzetszámok/doc
r|Sablon:Userbox/opr|Sablon:Userbox/Opera
r|Sablon:Wiki portál/Wikiszótár|Portál:Wikiportál/Wikiszótár
r|Sablon:Zászló/BAN|Sablon:Zászló/Banglades
r|Sablon:Elavult tartalmú lap|Sablon:Elavult tartalom
r|Sablon:RMIL|Sablon:Romániai magyar irodalmi lexikon
r|Sablon:User horoszkóp:Semmilyen|Sablon:Userbox/horoszkóp:Semmilyen
r|Sablon:Zászló/BEN|Sablon:Zászló/Benin
r|Sablon:Népesség/Ság|Sablon:Népesség/Ság (Szlovákia)
r|Sablon:Zászló/Ukrán|Sablon:Zászló/Ukrajna
r|Sablon:Fáraó|Sablon:Fáraó infobox
r|Sablon:Zászló/Csehszlovák|Sablon:Zászló/Csehszlovákia
r|Sablon:Vargaarpad|Sablon:Varga E. Árpád
r|Sablon:Zászló/Náci|Sablon:Zászló/Harmadik Birodalom
r|Sablon:MIL|Sablon:Magyar irodalmi lexikon
r|Sablon:Zászló/TTO|Sablon:Zászló/Trinidad és Tobago
r|Sablon:Dani22 zokni/doc|Sablon:Dani22-zokni/doc
r|Sablon:Üdv-Szedlacsek|Sablon:Regisztrált szerkesztők üdvözlése (Szedlacseknénis figyelmeztetés)
r|Sablon:Kezdőlap/Események|Sablon:Kezdőlap eseményei
r|Sablon:Az első világháború csatái|Sablon:Az első világháború nyugati frontja
r|Sablon:Hivnyelv/doc|Sablon:Nyelvcímke/doc
r|Sablon:1990-es szovjet vb keret|Sablon:1990-es szovjet vb-keret
r|Sablon:Country data MKD|Sablon:Country data Macedónia
r|Sablon:Vonatozás|Sablon:Userbox/Vonatozás
r|Sablon:Eltűnt népek|Sablon:Eltűnt népek, eltűnt birodalmak kislexikona
r|Sablon:MűvKlex|Sablon:Művészeti kislexikon
r|Sablon:Zászló/JAM|Sablon:Zászló/Jamaica
r|Sablon:Country data HUN|Sablon:Country data Magyarország
r|Sablon:Reklam|Sablon:Nem semleges
r|Sablon:TOC right/doc|Sablon:Tartalomjegyzék jobbra/doc
r|Sablon:Korrektor|Sablon:Korrektúrázandó
r|Sablon:User tatabányai|Sablon:Userbox/tatabányai
r|Sablon:Scooter-albumok|Sablon:Scooter
r|Sablon:Zöld-foki-szigetek|Sablon:Zöld-foki Köztársaság
r|Sablon:1998-as horvát vb keret|Sablon:1998-as horvát vb-keret
r|Sablon:Mercedes AMG Petronas Formula One Team|Sablon:Mercedes Grand Prix
r|Sablon:1994-es Német vb keret|Sablon:1994-es német vb-keret
r|Sablon:Cz|Sablon:Cs
r|Sablon:(nn)|Sablon:Nn
r|Sablon:Country data Saint-Pierre and Miquelon|Sablon:Country data Saint-Pierre és Miquelon
r|Sablon:NHL|Sablon:National Hockey League
r|Sablon:Első világháborús osztrák-magyar tüzérség|Sablon:Első világháborús osztrák–magyar tüzérség
r|Sablon:Country data PNG|Sablon:Country data Pápua Új-Guinea
r|Sablon:Elérhetőség|Sablon:Userbox/Elérhetőség
r|Sablon:Tokelau|Sablon:Tokelau-szigetek
r|Sablon:User anime|Sablon:Userbox/anime
r|Sablon:Country data DJI|Sablon:Country data Dzsibuti
r|Sablon:Közelkeletiralibajnokságok|Sablon:Közel-keleti ralibajnokságok
r|Sablon:Userlap támadás2|Sablon:Userbox/Userlap támadás2
