id,lang,prefix,total,good,views,edits,users,admins,ts,loclang,images,loclanglink,activeusers,version,si_mainpage,si_base,si_sitename,si_generator,si_phpversion,si_phpsapi,si_dbtype,si_dbversion,si_rev,si_case,si_rights,si_lang,si_fallback8bitEncoding,si_writeapi,si_timezone,si_timeoffset,si_articlepath,si_scriptpath,si_script,si_variantarticlepath,si_server,si_wikiid,si_time,method,http,status,si_linkprefix,si_linktrail,si_git-hash,si_logo,si_favicon,si_servername,si_git-branch,ratio
281,"Egyptian Arabic",arz,2175348,1629404,0,12444622,270881,7,"2025-10-19 00:12:51","&#1605;&#1589;&#1585;&#1609; (Ma&#7779;r&#299;)",1312,"&#1575;&#1604;&#1604;&#1594;&#1607; &#1575;&#1604;&#1605;&#1589;&#1585;&#1610;&#1607; &#1575;&#1604;&#1581;&#1583;&#1610;&#1579;&#1607;",344,1.28.0-wmf.13,"Ø§Ù„ØµÙØ­Ù‡ Ø§Ù„Ø±Ø¦ÙŠØ³ÙŠÙ‡",https://arz.wikipedia.org/wiki/%D8%A7%D9%84%D8%B5%D9%81%D8%AD%D9%87_%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D9%87,ÙˆÙŠÙƒÙŠØ¨ÙŠØ¯ÙŠØ§,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,arz,,,UTC,,/wiki/$1,/w,/w/index.php,,//arz.wikipedia.org,arzwiki,,8,200,a,,,,//arz.wikipedia.org/static/images/project-logos/arzwiki.png,https://arz.wikipedia.org/static/favicon/wikipedia.ico,arz.wikipedia.org,,0.7490
6,Chinese,zh,8209194,1506127,325484,89270135,3859615,61,"2025-10-19 00:12:49",&#20013;&#25991;,69023,&#27721;&#35821;,17005,1.28.0-wmf.13,Wikipedia:é¦–é¡µ,https://zh.wikipedia.org/wiki/Wikipedia:%E9%A6%96%E9%A1%B5,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,zh,,,UTC,,/wiki/$1,/w,/w/index.php,,//zh.wikipedia.org,zhwiki,,8,200,a,,,,//zh.wikipedia.org/static/images/project-logos/zhwiki.png,https://zh.wikipedia.org/static/favicon/wikipedia.ico,zh.wikipedia.org,,0.1835
20,Japanese,ja,4339319,1476992,2340982,106678461,2440597,40,"2025-10-19 00:12:47",&#26085;&#26412;&#35486;,5584,&#26085;&#26412;&#35486;,27071,1.28.0-wmf.13,ãƒ¡ã‚¤ãƒ³ãƒšãƒ¼ã‚¸,https://ja.wikipedia.org/wiki/%E3%83%A1%E3%82%A4%E3%83%B3%E3%83%9A%E3%83%BC%E3%82%B8,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,ja,,,UTC,,/wiki/$1,/w,/w/index.php,,//ja.wikipedia.org,jawiki,,8,200,a,,,,//ja.wikipedia.org/static/images/project-logos/jawiki.png,https://ja.wikipedia.org/static/favicon/wikipedia.ico,ja.wikipedia.org,,0.3404
44,Ukrainian,uk,4989592,1394397,59,46271865,839893,48,"2025-10-19 00:12:44",&#1059;&#1082;&#1088;&#1072;&#1111;&#1085;&#1089;&#1100;&#1082;&#1072;,114148,&#1059;&#1082;&#1088;&#1072;&#1111;&#1085;&#1089;&#1100;&#1082;&#1072;_&#1084;&#1086;&#1074;&#1072;,6443,1.28.0-wmf.13,"Ð“Ð¾Ð»Ð¾Ð²Ð½Ð° ÑÑ‚Ð¾Ñ€Ñ–Ð½ÐºÐ°",https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0_%D1%81%D1%82%D0%BE%D1%80%D1%96%D0%BD%D0%BA%D0%B0,Ð’Ñ–ÐºÑ–Ð¿ÐµÐ´Ñ–Ñ,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,uk,,,UTC,,/wiki/$1,/w,/w/index.php,,//uk.wikipedia.org,ukwiki,,8,200,a,,,,//uk.wikipedia.org/static/images/project-logos/ukwiki.png,https://uk.wikipedia.org/static/favicon/wikipedia.ico,uk.wikipedia.org,,0.2795
39,Vietnamese,vi,14608835,1296609,4,74201017,1010281,16,"2025-10-19 00:12:42","Ti&#7871;ng Vi&#7879;t",27182,Ti&#7871;ng_Vi&#7879;t,3243,1.28.0-wmf.13,"Trang ChÃ­nh",https://vi.wikipedia.org/wiki/Trang_Ch%C3%ADnh,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,vi,,,UTC,,/wiki/$1,/w,/w/index.php,,//vi.wikipedia.org,viwiki,,8,200,a,,,,//vi.wikipedia.org/static/images/project-logos/viwiki.png,https://vi.wikipedia.org/static/favicon/wikipedia.ico,vi.wikipedia.org,,0.0888
40,Arabic,ar,8942026,1283353,5201,72165132,2803283,26,"2025-10-19 00:12:38",&#1575;&#1604;&#1593;&#1585;&#1576;&#1610;&#1577;,55472,&#1604;&#1594;&#1577;&#32;&#1593;&#1585;&#1576;&#1610;&#1577;,9782,1.28.0-wmf.13,"Ø§Ù„ØµÙØ­Ø© Ø§Ù„Ø±Ø¦ÙŠØ³Ø©",https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B5%D9%81%D8%AD%D8%A9_%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D8%A9,ÙˆÙŠÙƒÙŠØ¨ÙŠØ¯ÙŠØ§,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,ar,,,UTC,,/wiki/$1,/w,/w/index.php,,//ar.wikipedia.org,arwiki,,8,200,a,,,,//ar.wikipedia.org/static/images/project-logos/arwiki.png,https://ar.wikipedia.org/static/favicon/wikipedia.ico,ar.wikipedia.org,,0.1435
212,Waray-Waray,war,2870532,1266778,0,7724874,64317,3,"2025-10-19 00:12:40",Winaray,42,Winaray,94,1.28.0-wmf.13,"Syahan nga Pakli",https://war.wikipedia.org/wiki/Syahan_nga_Pakli,Wikipedia,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,war,,,UTC,,/wiki/$1,/w,/w/index.php,,//war.wikipedia.org,warwiki,,8,200,a,,,,//war.wikipedia.org/static/images/project-logos/warwiki.png,https://war.wikipedia.org/static/favicon/wikipedia.ico,war.wikipedia.org,,0.4413
13,Portuguese,pt,5989760,1157876,144,70858482,3298004,50,"2025-10-19 00:12:36",Portugu&#234;s,66372,L&#237;ngua_portuguesa,8160,1.28.0-wmf.13,"WikipÃ©dia:PÃ¡gina principal",https://pt.wikipedia.org/wiki/Wikip%C3%A9dia:P%C3%A1gina_principal,WikipÃ©dia,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,pt,,,UTC,,/wiki/$1,/w,/w/index.php,,//pt.wikipedia.org,ptwiki,,8,200,a,,,,//pt.wikipedia.org/static/images/project-logos/ptwiki.png,https://pt.wikipedia.org/static/favicon/wikipedia.ico,pt.wikipedia.org,,0.1933
27,Persian,fa,5980598,1059163,24,42803754,1447639,36,"2025-10-19 00:12:33",&#1601;&#1575;&#1585;&#1587;&#1740;,96492,&#1601;&#1575;&#1585;&#1587;&#1740;,10676,1.28.0-wmf.13,"ØµÙØ­Ù‡Ù” Ø§ØµÙ„ÛŒ",https://fa.wikipedia.org/wiki/%D8%B5%D9%81%D8%AD%D9%87%D9%94_%D8%A7%D8%B5%D9%84%DB%8C,ÙˆÛŒÚ©ÛŒâ€ŒÙ¾Ø¯ÛŒØ§,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,fa,,,UTC,,/wiki/$1,/w,/w/index.php,,//fa.wikipedia.org,fawiki,,8,200,a,,,,//fa.wikipedia.org/static/images/project-logos/fawiki.png,https://fa.wikipedia.org/static/favicon/wikipedia.ico,fa.wikipedia.org,,0.1771
48,Catalan,ca,1963524,782578,171,36302700,528705,26,"2025-10-19 00:12:31",Catal&#224;,11375,Catal&#224;,2691,1.28.0-wmf.13,Portada,https://ca.wikipedia.org/wiki/Portada,ViquipÃ¨dia,"MediaWiki 1.45.0-wmf.23",8.1.31,fpm-fcgi,mysql,10.6.20-MariaDB-log,,,,ca,,,Europe/Berlin,,/wiki/$1,/w,/w/index.php,,//ca.wikipedia.org,cawiki,,8,200,a,,,,//ca.wikipedia.org/static/images/project-logos/cawiki.png,https://ca.wikipedia.org/static/favicon/wikipedia.ico,ca.wikipedia.org,,0.3986
